date,asset,usd,inr
2023-06-11,btc,25940.17,2130775.5
2023-06-10,btc,25851.24,2182638.25
2023-06-09,btc,26480.38,2186624.25
2023-06-08,btc,26508.22,2176662.75
2023-06-07,btc,26346.0,2247699.75
2023-06-06,btc,27238.78,2125513.5
2023-06-05,btc,25760.1,2234883.5
2023-06-04,btc,27119.07,2230943.25
2023-06-03,btc,27075.13,2245427.5
2023-06-02,btc,27249.59,2206660.5
2023-06-01,btc,26819.97,2250169.0
2023-05-31,btc,27219.66,2290547.75
2023-05-30,btc,27702.35,2291254.0
2023-05-29,btc,27745.88,2319173.75
2023-05-28,btc,28085.65,2218380.25
2023-05-27,btc,26868.35,2206072.75
2023-05-26,btc,26719.29,2190703.5
2023-05-25,btc,26476.21,2178254.25
2023-05-24,btc,26334.82,2256766.25
2023-05-23,btc,27225.73,2223963.5
2023-05-22,btc,26851.28,2218027.0
2023-05-21,btc,26753.83,2247409.5
2023-05-20,btc,27129.59,2227546.0
2023-05-19,btc,26890.13,2219703.75
2023-05-18,btc,26832.21,2259062.5
2023-05-17,btc,27398.8,2225014.75
2023-05-16,btc,27036.65,2237068.0
2023-05-15,btc,27192.69,2213713.25
2023-05-14,btc,26930.64,2201664.25
2023-05-13,btc,26784.08,2204879.25
2023-05-12,btc,26804.99,2216779.75
2023-05-11,btc,27000.79,2262778.25
2023-05-10,btc,27621.76,2270933.25
2023-05-09,btc,27658.78,2265099.5
2023-05-08,btc,27694.27,2325622.0
2023-05-07,btc,28454.98,2362367.75
2023-05-06,btc,28904.62,2413838.0
2023-05-05,btc,29534.38,2357329.5
2023-05-04,btc,28847.71,2372143.25
2023-05-03,btc,29006.31,2345458.5
2023-05-02,btc,28680.54,2297186.5
2023-05-01,btc,28091.57,2392580.25
2023-04-30,btc,29268.81,2390914.75
2023-04-29,btc,29248.49,2398439.0
2023-04-28,btc,29340.26,2409902.0
2023-04-27,btc,29473.79,2324043.25
2023-04-26,btc,28422.7,2320992.25
2023-04-25,btc,28307.6,2253019.25
2023-04-24,btc,27525.34,2264012.5
2023-04-23,btc,27591.38,2282171.5
2023-04-22,btc,27817.5,2237820.75
2023-04-21,btc,27276.91,2320158.0
2023-04-20,btc,28245.99,2373287.0
2023-04-19,btc,28822.68,2495886.75
2023-04-18,btc,30397.55,2414636.5
2023-04-17,btc,29445.04,2481161.75
2023-04-16,btc,30315.36,2481332.5
2023-04-15,btc,30318.5,2495138.75
2023-04-14,btc,30485.7,2483024.75
2023-04-13,btc,30399.07,2470228.75
2023-04-12,btc,30139.05,2481401.75
2023-04-11,btc,30235.06,2431074.25
2023-04-10,btc,29652.98,2320053.25
2023-04-09,btc,28333.05,2287261.5
2023-04-08,btc,27947.79,2286436.5
2023-04-07,btc,27925.86,2294895.5
2023-04-06,btc,28044.14,2309198.5
2023-04-05,btc,28177.98,2313024.25
2023-04-04,btc,28168.09,2282692.75
2023-04-03,btc,27790.22,2317561.5
2023-04-02,btc,28199.31,2334837.25
2023-04-01,btc,28411.04,2340380.5
2023-03-31,btc,28478.48,2301574.0
2023-03-30,btc,28033.56,2331816.75
2023-03-29,btc,28348.44,2240473.75
2023-03-28,btc,27268.13,2231312.5
2023-03-27,btc,27139.89,2305026.5
2023-03-26,btc,27994.33,2264119.0
2023-03-25,btc,27494.71,2264002.0
2023-03-24,btc,27493.29,2330910.0
2023-03-23,btc,28333.97,2253569.5
2023-03-22,btc,27307.44,2329504.75
2023-03-21,btc,28175.82,2291612.0
2023-03-20,btc,27767.24,2314190.0
2023-03-19,btc,28038.68,2225565.5
2023-03-18,btc,26965.88,2263369.75
2023-03-17,btc,27423.93,2069935.38
2023-03-16,btc,25052.79,2016281.0
2023-03-15,btc,24375.96,2036726.75
2023-03-14,btc,24746.07,1994330.5
2023-03-13,btc,24197.53,1817116.75
2023-03-12,btc,22163.95,1691145.75
2023-03-11,btc,20632.41,1655728.38
2023-03-10,btc,20187.24,1670145.38
2023-03-09,btc,20363.02,1670145.38
2023-03-08,btc,21718.08,1780117.13
2023-03-07,btc,22219.77,1823684.25
2023-03-06,btc,22429.76,1835980.13
2023-03-05,btc,22435.51,1833267.63
2023-03-04,btc,22353.35,1826553.75
